Data Report;;;;;
File created on:2020-08-18 15:54:00;;;;;
;;;;;
Device Information;;;;;
Device Model;RC-4HC;Logging Interval;300;Start Time;10/08/2020 11:02
Total Space;16000;Press Button ;Disable;Temperature Unit;°C
Storage Mode;N/A;Alarm Tone;Disable;;
Button Tone;Disable;Logging interval shortened in alarm;N/A;;
Trip Description;;;;;
Serial Number;V59;;;;
Trip Description;RC-4HC Data Logger;;;;
Alarm Settings;Alarm Status;;;;
H1:60,0°C;Normal;;;;
Ideal Zone;;;;;
L1:-30,0°C;Normal;;;;
Above:90,0%;Normal;;;;
Ideal Zone;;;;;
Below:20,0%;Normal;;;;
Summary;;;;;
Data Points;2363;;Mean Kinetic Temperature (MKT);13,4;
First Reading;10/08/2020 11:02;;Last Reading;18/08/2020 15:52;
Maximum(Temperature);19,4°C;;Minimum(Temperature);9,6°C;
Average(Temperature);13,2°C;;Recorded Period;8D 4H 50M 0S;
First Alarm(Temperature);N/A;;;;
Maximum(Humidity);57,10%;;Minimum(Humidity);42,10%;
Average(Humidity);51,00%;;;;
First Alarm(Humidity);N/A;;;;
;;;;;
299;11/08/2020 11:52;13,6;48;;
300;11/08/2020 11:57;13,7;48,1;;
301;11/08/2020 12:02;13,7;48,1;;
302;11/08/2020 12:07;13,8;48,6;;
303;11/08/2020 12:12;13,8;48,6;;
304;11/08/2020 12:17;13,8;48,6;;
305;11/08/2020 12:22;13,9;48,6;;
306;11/08/2020 12:27;13,9;49,1;;
307;11/08/2020 12:32;14;49,1;;
308;11/08/2020 12:37;14;49,1;;
309;11/08/2020 12:42;14;49,6;;
310;11/08/2020 12:47;14;49,1;;
311;11/08/2020 12:52;14,1;49,6;;
312;11/08/2020 12:57;14,1;49,1;;
313;11/08/2020 13:02;14,2;49,1;;
314;11/08/2020 13:07;14,3;49,1;;
315;11/08/2020 13:12;14,3;48,6;;
316;11/08/2020 13:17;14,4;48,6;;
317;11/08/2020 13:22;14,4;48,1;;
318;11/08/2020 13:27;14,4;48,1;;
319;11/08/2020 13:32;14,5;47,6;;
320;11/08/2020 13:37;14,5;47,2;;
321;11/08/2020 13:42;14,5;47,2;;
322;11/08/2020 13:47;14,6;47,2;;
323;11/08/2020 13:52;14,6;46,7;;
324;11/08/2020 13:57;14,7;46,7;;
325;11/08/2020 14:02;14,7;46,2;;
326;11/08/2020 14:07;14,7;46,2;;
327;11/08/2020 14:12;14,7;46,2;;
328;11/08/2020 14:17;14,7;46,2;;
329;11/08/2020 14:22;14,8;46,2;;
330;11/08/2020 14:27;14,8;46,2;;
331;11/08/2020 14:32;14,9;45,7;;
332;11/08/2020 14:37;14,9;45,7;;
333;11/08/2020 14:42;15;45,7;;
334;11/08/2020 14:47;15;45,7;;
335;11/08/2020 14:52;15;45,7;;
336;11/08/2020 14:57;15,1;45,2;;
337;11/08/2020 15:02;15,1;45,2;;
