RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V63;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2758;;;;
Temperature Maximum;25,6°C;;;;
Temperature Minimum;14,8°C;;;;
Temperature Average;18°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;99,9%RH;;;;
Humidity Minimum;2,8%RH;;;;
Humidity Average;40,5%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-04-24 21:53:47;;;;
End Time;2022-05-04 11:38:47;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
408;2022-04-26 07:48:47;20,38;64,6;;
409;2022-04-26 07:53:47;20,38;64,6;;
410;2022-04-26 07:58:47;20,38;64,6;;
411;2022-04-26 08:03:47;20,38;64,6;;
412;2022-04-26 08:08:47;20,38;64,6;;
413;2022-04-26 08:13:47;20,38;64,6;;
414;2022-04-26 08:18:47;20,38;64,6;;
415;2022-04-26 08:23:47;20,38;64,6;;
416;2022-04-26 08:28:47;20,38;64,6;;
417;2022-04-26 08:33:47;20,38;64,6;;
418;2022-04-26 08:38:47;20,38;64,6;;
419;2022-04-26 08:43:47;20,38;64,6;;
420;2022-04-26 08:48:47;20,28;64,6;;
421;2022-04-26 08:53:47;20,18;64,6;;
422;2022-04-26 08:58:47;20,18;64,6;;
423;2022-04-26 09:03:47;19,88;65,0;;
424;2022-04-26 09:08:47;19,48;65,0;;
425;2022-04-26 09:13:47;19,18;65,0;;
426;2022-04-26 09:18:47;18,98;65,0;;
427;2022-04-26 09:23:47;18,88;65,0;;
428;2022-04-26 09:28:47;18,78;65,0;;
429;2022-04-26 09:33:47;18,68;65,0;;
430;2022-04-26 09:38:47;18,98;65,0;;
431;2022-04-26 09:43:47;21,18;65,0;;
432;2022-04-26 09:48:47;22,18;65,0;;
433;2022-04-26 09:53:47;23,18;65,0;;
434;2022-04-26 09:58:47;23,78;65,0;;
435;2022-04-26 10:03:47;24,08;65,0;;
436;2022-04-26 10:08:47;24,28;65,0;;
437;2022-04-26 10:13:47;24,38;65,0;;
438;2022-04-26 10:18:47;25,08;65,0;;
439;2022-04-26 10:23:47;24,78;65,0;;
440;2022-04-26 10:28:47;24,68;65,0;;
441;2022-04-26 10:33:47;24,98;65,0;;
442;2022-04-26 10:38:47;25,48;65,0;;
443;2022-04-26 10:43:47;24,58;65,5;;
444;2022-04-26 10:48:47;23,98;65,5;;
445;2022-04-26 10:53:47;24,18;65,5;;
446;2022-04-26 10:58:47;24,28;65,5;;
447;2022-04-26 11:03:47;24,18;65,5;;
448;2022-04-26 11:08:47;22,98;65,5;;
449;2022-04-26 11:13:47;21,08;65,5;;
450;2022-04-26 11:18:47;19,98;65,5;;
451;2022-04-26 11:23:47;19,38;65,5;;
452;2022-04-26 11:28:47;18,98;65,5;;
453;2022-04-26 11:33:47;18,78;65,5;;
454;2022-04-26 11:38:47;18,68;65,4;;
455;2022-04-26 11:43:47;18,68;65,5;;
456;2022-04-26 11:48:47;18,68;65,4;;
457;2022-04-26 11:53:47;18,68;65,4;;
458;2022-04-26 11:58:47;18,68;65,4;;
459;2022-04-26 12:03:47;18,68;65,4;;
460;2022-04-26 12:08:47;18,78;65,4;;
461;2022-04-26 12:13:47;18,78;65,4;;
462;2022-04-26 12:18:47;18,88;65,4;;
463;2022-04-26 12:23:47;18,88;65,4;;
464;2022-04-26 12:28:47;18,98;65,4;;
465;2022-04-26 12:33:47;18,98;65,4;;
466;2022-04-26 12:38:47;19,08;65,4;;
467;2022-04-26 12:43:47;19,08;65,4;;
468;2022-04-26 12:48:47;19,08;65,9;;
469;2022-04-26 12:53:47;19,08;65,9;;
470;2022-04-26 12:58:47;19,08;65,9;;
471;2022-04-26 13:03:47;19,08;65,9;;
472;2022-04-26 13:08:47;19,08;65,9;;
473;2022-04-26 13:13:47;19,08;65,9;;
474;2022-04-26 13:18:47;19,08;65,9;;
