RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
393;2022-04-27 00:22:01;17,7;60,8
394;2022-04-27 00:27:01;17,7;60,8
395;2022-04-27 00:32:01;17,7;60,8
396;2022-04-27 00:37:01;17,6;60,7
397;2022-04-27 00:42:01;17,6;60,7
398;2022-04-27 00:47:01;17,6;60,7
399;2022-04-27 00:52:01;17,6;60,7
400;2022-04-27 00:57:01;17,6;60,7
401;2022-04-27 01:02:01;17,6;60,7
402;2022-04-27 01:07:01;17,5;60,7
403;2022-04-27 01:12:01;17,5;60,7
404;2022-04-27 01:17:01;17,5;60,7
405;2022-04-27 01:22:01;17,5;61,2
406;2022-04-27 01:27:01;17,5;60,7
407;2022-04-27 01:32:01;17,5;60,7
408;2022-04-27 01:37:01;17,5;61,2
409;2022-04-27 01:42:01;17,5;61,2
410;2022-04-27 01:47:01;17,5;61,2
411;2022-04-27 01:52:01;17,5;61,2
412;2022-04-27 01:57:01;17,5;61,2
413;2022-04-27 02:02:01;17,5;61,2
414;2022-04-27 02:07:01;17,4;61,2
415;2022-04-27 02:12:01;17,4;61,2
416;2022-04-27 02:17:01;17,4;61,2
417;2022-04-27 02:22:01;17,4;61,2
418;2022-04-27 02:27:01;17,4;61,2
419;2022-04-27 02:32:01;17,4;61,2
