RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
369;04/03/2022 19:37;25.7;36.6;
370;04/03/2022 19:42;25.6;36.6;
371;04/03/2022 19:47;25.6;36.6;
372;04/03/2022 19:52;25.5;36.6;
373;04/03/2022 19:57;25.4;36.6;
374;04/03/2022 20:02;25.4;36.6;
375;04/03/2022 20:07;25.3;36.6;
376;04/03/2022 20:12;25.2;36.6;
377;04/03/2022 20:17;25.1;36.5;
378;04/03/2022 20:22;25;36.5;
379;04/03/2022 20:27;24.9;36.5;
380;04/03/2022 20:32;24.9;36.5;
381;04/03/2022 20:37;24.8;36.5;
382;04/03/2022 20:42;24.7;36.5;
383;04/03/2022 20:47;24.7;36.5;
384;04/03/2022 20:52;24.6;36.5;
385;04/03/2022 20:57;24.5;36.5;
386;04/03/2022 21:02;24.4;36.5;
387;04/03/2022 21:07;24.3;37.6;
388;04/03/2022 21:12;24.2;38.7;
389;04/03/2022 21:17;24.2;38.7;
390;04/03/2022 21:22;24.1;38.6;
391;04/03/2022 21:27;24;38.6;
392;04/03/2022 21:32;24;39.7;
393;04/03/2022 21:37;23.9;39.7;
394;04/03/2022 21:42;23.8;39.7;
395;04/03/2022 21:47;23.8;40.8;
