RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V456;;
Number;7186E00399;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3427;;
Temperature Maximum;29°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.9°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;86.1%RH;;
Humidity Minimum;34.6%RH;;
Humidity Average;58.9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2020/09/09 13:00:00;;
End Time;2020/09/11 22:03:00;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
331;2020/09/09 18:30:00;-25,2;67.7
332;2020/09/09 18:31:00;-25,2;67.7
333;2020/09/09 18:32:00;-25,2;67.7
334;2020/09/09 18:33:00;-25,2;67.7
335;2020/09/09 18:34:00;-25,3;67.7
336;2020/09/09 18:35:00;-25,3;67.7
337;2020/09/09 18:36:00;-25,3;67.7
338;2020/09/09 18:37:00;-25,4;67.7
339;2020/09/09 18:38:00;-25,4;67.6
340;2020/09/09 18:39:00;-25,5;67.2
341;2020/09/09 18:40:00;-25,5;67.2
342;2020/09/09 18:41:00;-25,5;66.7
343;2020/09/09 18:42:00;-25,6;66.7
344;2020/09/09 18:43:00;-25,7;66.2
345;2020/09/09 18:44:00;-25,7;66.2
346;2020/09/09 18:45:00;-25,8;66.2
347;2020/09/09 18:46:00;-25,9;66.6
348;2020/09/09 18:47:00;-25,9;66.6
349;2020/09/09 18:48:00;-26;67
350;2020/09/09 18:49:00;-26,1;67.4
351;2020/09/09 18:50:00;-26,1;67.4
352;2020/09/09 18:51:00;-26,2;67.8
353;2020/09/09 18:52:00;-26,3;67.8
354;2020/09/09 18:53:00;-26,4;68.2
355;2020/09/09 18:54:00;-26,5;68.2
356;2020/09/09 18:55:00;-26,6;68.6
357;2020/09/09 18:56:00;-26,7;69
358;2020/09/09 18:57:00;-26,8;69
359;2020/09/09 18:58:00;-26,8;69.4
360;2020/09/09 18:59:00;-26,9;69.4
361;2020/09/09 19:00:00;-27;69.8
362;2020/09/09 19:01:00;-27,1;69.8
363;2020/09/09 19:02:00;-27,2;69.8
364;2020/09/09 19:03:00;-27,2;70.2
365;2020/09/09 19:04:00;-27,3;70.2
366;2020/09/09 19:05:00;-27,4;70.2
367;2020/09/09 19:06:00;-27,5;70.2
368;2020/09/09 19:07:00;-27,5;70.6
369;2020/09/09 19:08:00;-27,6;70.6
370;2020/09/09 19:09:00;-27,6;70.5
371;2020/09/09 19:10:00;-27,7;70.5
372;2020/09/09 19:11:00;-27,8;71
373;2020/09/09 19:12:00;-27,8;70.9
374;2020/09/09 19:13:00;-27,9;70.9
375;2020/09/09 19:14:00;-27,9;70.9
376;2020/09/09 19:15:00;-28;70.9
377;2020/09/09 19:16:00;-28;71.3
378;2020/09/09 19:17:00;-28,1;71.3
379;2020/09/09 19:18:00;-28,2;71.3
380;2020/09/09 19:19:00;-28,2;71.3
381;2020/09/09 19:20:00;-28,2;71.3
382;2020/09/09 19:21:00;-28,3;71.3
383;2020/09/09 19:22:00;-28,3;71.3
384;2020/09/09 19:23:00;-28,3;71.3
385;2020/09/09 19:24:00;-28,3;71.3
386;2020/09/09 19:25:00;-28,4;71.7
387;2020/09/09 19:26:00;-28,4;71.7
388;2020/09/09 19:27:00;-28,5;71.7
389;2020/09/09 19:28:00;-28,5;71.7
390;2020/09/09 19:29:00;-28,6;71.7
391;2020/09/09 19:30:00;-28,6;71.6
392;2020/09/09 19:31:00;-28,6;71.6
393;2020/09/09 19:32:00;-28,7;71.6
394;2020/09/09 19:33:00;-28,7;71.6
395;2020/09/09 19:34:00;-28,8;71.6
396;2020/09/09 19:35:00;-28,8;72
397;2020/09/09 19:36:00;-28,8;72
398;2020/09/09 19:37:00;-28,9;71.6
399;2020/09/09 19:38:00;-28,9;72
400;2020/09/09 19:39:00;-28,9;72
401;2020/09/09 19:40:00;-29;72
402;2020/09/09 19:41:00;-29;72
403;2020/09/09 19:42:00;-29,1;72
404;2020/09/09 19:43:00;-29,1;72
405;2020/09/09 19:44:00;-29,1;72
406;2020/09/09 19:45:00;-29,1;71.9
407;2020/09/09 19:46:00;-29,1;71.9
408;2020/09/09 19:47:00;-29,2;71.9
409;2020/09/09 19:48:00;-29,2;71.9
410;2020/09/09 19:49:00;-29,3;71.9
411;2020/09/09 19:50:00;-29,3;71.9
412;2020/09/09 19:51:00;-29,3;71.9
413;2020/09/09 19:52:00;-29,3;72.3
414;2020/09/09 19:53:00;-29,4;72.3
415;2020/09/09 19:54:00;-29,4;72.3
416;2020/09/09 19:55:00;-29,4;72.3
417;2020/09/09 19:56:00;-29,4;72.7
418;2020/09/09 19:57:00;-29,4;72.7
419;2020/09/09 19:58:00;-29,4;72.7
420;2020/09/09 19:59:00;-29,4;72.7
421;2020/09/09 20:00:00;-29,5;72.7
422;2020/09/09 20:01:00;-29,5;72.7
423;2020/09/09 20:02:00;-29,5;73.1
424;2020/09/09 20:03:00;-29,5;73.1
425;2020/09/09 20:04:00;-29,6;73.1
426;2020/09/09 20:05:00;-29,6;73.1
427;2020/09/09 20:06:00;-29,6;73.1
428;2020/09/09 20:07:00;-29,6;73.1
429;2020/09/09 20:08:00;-29,7;73.1
430;2020/09/09 20:09:00;-29,7;73.5
431;2020/09/09 20:10:00;-29,7;73.5
432;2020/09/09 20:11:00;-29,8;73.5
433;2020/09/09 20:12:00;-29,8;73.5
434;2020/09/09 20:13:00;-29,9;73.5
435;2020/09/09 20:14:00;-29,9;73.5
436;2020/09/09 20:15:00;-29,9;73.5
437;2020/09/09 20:16:00;-30;73.5
438;2020/09/09 20:17:00;-30;73
439;2020/09/09 20:18:00;-30;73
440;2020/09/09 20:19:00;-30,1;73
441;2020/09/09 20:20:00;-30,1;73
442;2020/09/09 20:21:00;-30,2;73
443;2020/09/09 20:22:00;-30,3;72.6
444;2020/09/09 20:23:00;-30,3;72.6
445;2020/09/09 20:24:00;-30,4;72.5
446;2020/09/09 20:25:00;-30,4;72.5
447;2020/09/09 20:26:00;-30,5;72.5
448;2020/09/09 20:27:00;-30,6;72.5
449;2020/09/09 20:28:00;-30,6;72.5
450;2020/09/09 20:29:00;-30,6;72.5
451;2020/09/09 20:30:00;-30,7;72.5
452;2020/09/09 20:31:00;-30,7;72.5
453;2020/09/09 20:32:00;-30,7;72.5
