RC-4HC Temperature+Humidity Data Logger;;;;;
User Information;RC-4HC Data Logger;;;;
Number;V485;;;;
Interval    ;0:5:0 H:M:S;;;;
Delay Time;0,0 H;;;;
Data Sum;2886;;;;
Temperature Maximum;22,5°C;;;;
Temperature Minimum;11,8°C;;;;
Temperature Average;17,3°C;;;;
Temperature Alarm Upper Limit;60,0°C;;;;
Temperature Alarm Lower Limit;-30,0°C;;;;
Humidity Maximum;63,5%RH;;;;
Humidity Minimum;28%RH;;;;
Humidity Average;52,3%RH;;;;
Humidity Alarm Upper Limit;90%RH;;;;
Humidity Alarm Lower Limit;20%RH;;;;
Start Time;2022-05-09 17:01:49;;;;
End Time;2022-05-19 17:26:49;;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;;
Temperature Unit;°C;;;;
Number;Time;Temperature°C;Humidity%RH;;
412;2022-05-11 03:16:49;16,2;56,7;;
413;2022-05-11 03:21:49;16,2;56,95;;
414;2022-05-11 03:26:49;16,2;57,15;;
415;2022-05-11 03:31:49;16,2;57,15;;
416;2022-05-11 03:36:49;16,2;57,15;;
417;2022-05-11 03:41:49;16,2;57,15;;
418;2022-05-11 03:46:49;16,1;57,15;;
419;2022-05-11 03:51:49;16,1;57,15;;
420;2022-05-11 03:56:49;16,1;57,15;;
421;2022-05-11 04:01:49;16,1;57,15;;
422;2022-05-11 04:06:49;16,1;57,15;;
423;2022-05-11 04:11:49;16,1;57,15;;
424;2022-05-11 04:16:49;16,05;57,15;;
425;2022-05-11 04:21:49;16;57,15;;
426;2022-05-11 04:26:49;16;57,4;;
427;2022-05-11 04:31:49;16;57,4;;
428;2022-05-11 04:36:49;16;57,4;;
429;2022-05-11 04:41:49;16;57,4;;
430;2022-05-11 04:46:49;15,95;57,4;;
431;2022-05-11 04:51:49;15,9;57,6;;
432;2022-05-11 04:56:49;15,9;57,6;;
433;2022-05-11 05:01:49;15,85;57,6;;
434;2022-05-11 05:06:49;15,85;57,6;;
435;2022-05-11 05:11:49;15,8;57,6;;
436;2022-05-11 05:16:49;15,8;57,85;;
437;2022-05-11 05:21:49;15,8;57,8;;
438;2022-05-11 05:26:49;15,8;57,8;;
439;2022-05-11 05:31:49;15,75;57,8;;
440;2022-05-11 05:36:49;15,7;58,05;;
441;2022-05-11 05:41:49;15,7;58,05;;
442;2022-05-11 05:46:49;15,7;58,05;;
443;2022-05-11 05:51:49;15,7;58,05;;
444;2022-05-11 05:56:49;15,65;58,05;;
445;2022-05-11 06:01:49;15,6;58,05;;
446;2022-05-11 06:06:49;15,6;58,05;;
447;2022-05-11 06:11:49;15,6;58,05;;
448;2022-05-11 06:16:49;15,6;58;;
449;2022-05-11 06:21:49;15,55;58,25;;
450;2022-05-11 06:26:49;15,55;58,25;;
451;2022-05-11 06:31:49;15,5;58,25;;
452;2022-05-11 06:36:49;15,45;58,5;;
453;2022-05-11 06:41:49;15,45;58,5;;
454;2022-05-11 06:46:49;15,45;58,5;;
455;2022-05-11 06:51:49;15,5;58,5;;
456;2022-05-11 06:56:49;15,5;58,5;;
457;2022-05-11 07:01:49;15,45;58,5;;
458;2022-05-11 07:06:49;15,45;58,5;;
459;2022-05-11 07:11:49;15,45;58,5;;
460;2022-05-11 07:16:49;15,5;58,5;;
461;2022-05-11 07:21:49;15,5;58,5;;
462;2022-05-11 07:26:49;15,4;58,5;;
463;2022-05-11 07:31:49;15,4;58,5;;
464;2022-05-11 07:36:49;15,4;58,5;;
465;2022-05-11 07:41:49;15,4;58,7;;
466;2022-05-11 07:46:49;15,4;58,7;;
467;2022-05-11 07:51:49;15,4;58,7;;
468;2022-05-11 07:56:49;15,4;58,7;;
469;2022-05-11 08:01:49;15,45;58,7;;
470;2022-05-11 08:06:49;15,45;58,7;;
471;2022-05-11 08:11:49;15,45;58,7;;
472;2022-05-11 08:16:49;15,45;58,7;;
473;2022-05-11 08:21:49;15,45;58,7;;
474;2022-05-11 08:26:49;15,45;58,7;;
475;2022-05-11 08:31:49;15,5;58,7;;
476;2022-05-11 08:36:49;15,55;58,7;;
477;2022-05-11 08:41:49;15,6;58,7;;
