RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V550;;;
Number;719AH10086;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0,0 H;;;
Data Sum;2876;;;
Temperature Maximum;22,3°C;;;
Temperature Minimum;11,8°C;;;
Temperature Average;17,3°C;;;
Temperature Alarm Upper Limit;60,0°C;;;
Temperature Alarm Lower Limit;-30,0°C;;;
Humidity Maximum;66,4%RH;;;
Humidity Minimum;31,8%RH;;;
Humidity Average;54,9%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;9/05/2022 11:22;;;
End Time;19/05/2022 11:01;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;l
398;2022-05-10 20:27:53;18,1;54,5;
399;2022-05-10 20:32:53;18,1;54,5;
400;2022-05-10 20:37:53;18,1;54,5;
401;2022-05-10 20:42:53;18;55;
402;2022-05-10 20:47:53;18;55;
403;2022-05-10 20:52:53;18;55;
404;2022-05-10 20:57:53;18;55;
405;2022-05-10 21:02:53;18;55,5;
406;2022-05-10 21:07:53;17,9;55,5;
407;2022-05-10 21:12:53;17,9;55,5;
408;2022-05-10 21:17:53;17,9;55,5;
409;2022-05-10 21:22:53;17,9;55,5;
410;2022-05-10 21:27:53;17,8;55,5;
411;2022-05-10 21:32:53;17,8;56;
412;2022-05-10 21:37:53;17,8;55,9;
413;2022-05-10 21:42:53;17,8;55,9;
414;2022-05-10 21:47:53;17,7;55,9;
415;2022-05-10 21:52:53;17,7;55,9;
416;2022-05-10 21:57:53;17,7;55,9;
417;2022-05-10 22:02:53;17,7;55,9;
418;2022-05-10 22:07:53;17,6;56,4;
419;2022-05-10 22:12:53;17,6;56,4;
420;2022-05-10 22:17:53;17,6;56,4;
421;2022-05-10 22:22:53;17,6;56,4;
422;2022-05-10 22:27:53;17,5;56,4;
423;2022-05-10 22:32:53;17,5;56,4;
424;2022-05-10 22:37:53;17,5;56,4;
425;2022-05-10 22:42:53;17,5;56,4;
426;2022-05-10 22:47:53;17,4;56,4;
427;2022-05-10 22:52:53;17,4;56,4;
428;2022-05-10 22:57:53;17,4;56,4;
429;2022-05-10 23:02:53;17,3;56,4;
430;2022-05-10 23:07:53;17,3;56,4;
