;1;2;3;4;5;6;7;8;9;10;11
;Sonda 1 BC 2;Sonda 3 BC 2;Sonda 2 BC 2;Sonda 1 9F 3;Sonda 2 9F 3;Sonda 3 9F 3;Sonda 4 BC 2;Sonda 4 146 1;Sonda 1 146 1;Sonda 3 146 1;Sonda 2 146 1
04-03-2021 8:42;-74,16;-74,94;-76,89;-79,22;-78,83;-79,42;-76,11;-78,25;-74,55;-74,16;-75,14
04-03-2021 8:43;-74,16;-74,94;-76,89;-79,42;-79,22;-79,03;-76,3;-78,44;-74,75;-74,36;-75,72
04-03-2021 8:44;-74,36;-75,14;-76,89;-79,22;-79,22;-79,22;-76,3;-78,25;-74,94;-75,14;-76,11
04-03-2021 8:45;-74,36;-75,14;-76,89;-79,03;-79,22;-79,22;-76,5;-78,05;-75,53;-75,53;-76,11
04-03-2021 8:46;-74,36;-75,14;-76,89;-79,22;-79,42;-79,22;-76,3;-78,44;-75,53;-75,53;-75,91
04-03-2021 8:47;-74,36;-75,33;-76,89;-79,42;-79,42;-79,22;-76,5;-78,64;-75,53;-75,14;-76,3
04-03-2021 8:48;-74,75;-75,33;-77,08;-79,42;-79,22;-79,42;-76,5;-78,64;-75,72;-75,33;-76,5
04-03-2021 8:49;-74,75;-75,33;-77,08;-79,42;-79,42;-79,42;-76,5;-78,05;-75,72;-75,33;-76,5
04-03-2021 8:50;-74,75;-75,33;-76,89;-79,61;-79,61;-79,61;-76,5;-78,64;-75,53;-75,53;-76,5
04-03-2021 8:51;-74,94;-75,53;-77,08;-79,61;-79,61;-79,98;-76,5;-78,05;-75,72;-75,33;-76,11
04-03-2021 8:52;-75,14;-75,53;-77,08;-79,61;-79,61;-79,98;-76,69;-77,86;-75,33;-75,53;-76,3
04-03-2021 8:53;-74,94;-75,53;-77,08;-79,81;-79,81;-79,81;-76,69;-78,25;-75,33;-75,14;-76,11
04-03-2021 8:55;-75,14;-75,72;-77,08;-79,81;-79,81;-79,98;-76,89;-78,25;-75,53;-75,33;-76,11
04-03-2021 8:56;-75,33;-75,72;-77,08;-79,61;-79,81;-80,17;-76,89;-78,05;-75,33;-74,94;-75,91
04-03-2021 8:57;-75,33;-75,72;-77,08;-79,98;-79,81;-80,36;-77,08;-78,64;-75,53;-75,33;-76,11
04-03-2021 8:58;-75,33;-75,72;-77,08;-79,81;-79,81;-80,17;-76,89;-78,83;-75,14;-75,14;-76,11
04-03-2021 8:59;-75,14;-75,72;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,33;-75,14;-75,91
04-03-2021 9:00;-74,94;-75,53;-77,08;-79,81;-79,81;-80,17;-76,69;-78,44;-75,33;-75,14;-75,91
04-03-2021 9:01;-74,94;-75,53;-77,08;-79,61;-79,81;-80,17;-76,69;-78,44;-75,14;-74,94;-75,72
04-03-2021 9:02;-74,55;-75,33;-77,08;-79,61;-79,61;-79,98;-76,5;-78,25;-74,94;-74,75;-75,72
04-03-2021 9:03;-74,55;-75,33;-77,08;-79,61;-79,61;-79,98;-76,5;-78,25;-74,94;-74,55;-75,53
04-03-2021 9:04;-74,36;-75,14;-77,08;-79,42;-79,42;-79,81;-76,5;-78,25;-74,75;-74,55;-75,53
04-03-2021 9:05;-74,16;-75,14;-77,08;-79,22;-79,22;-79,61;-76,3;-78,25;-74,75;-74,36;-75,33
04-03-2021 9:06;-74,16;-74,94;-76,89;-79,61;-79,22;-79,42;-76,5;-79,03;-74,55;-74,36;-74,94
04-03-2021 9:07;-74,16;-74,94;-76,89;-79,22;-79,03;-79,61;-76,11;-78,25;-74,75;-74,36;-75,33
04-03-2021 9:08;-74,16;-74,94;-76,89;-79,22;-78,83;-79,03;-76,3;-77,86;-74,36;-74,16;-75,33
04-03-2021 9:09;-74,16;-75,14;-76,89;-79,03;-79,03;-79,22;-76,3;-78,05;-74,94;-74,55;-75,53
04-03-2021 9:10;-74,16;-75,14;-77,08;-78,83;-79,22;-79,42;-76,3;-78,25;-74,94;-74,75;-76,11
04-03-2021 9:11;-74,36;-75,14;-76,89;-79,22;-79,22;-79,22;-76,3;-78,44;-75,53;-75,14;-76,3
04-03-2021 9:12;-74,36;-75,14;-76,89;-79,22;-79,22;-79,22;-76,5;-78,64;-76,11;-75,33;-76,5
04-03-2021 9:13;-74,55;-75,33;-76,89;-79,03;-79,22;-79,42;-76,5;-78,64;-75,33;-75,53;-76,5
04-03-2021 9:14;-74,75;-75,33;-77,08;-79,42;-79,61;-79,61;-76,5;-78,44;-75,91;-75,33;-76,5
04-03-2021 9:15;-74,55;-75,53;-77,08;-79,42;-79,61;-79,61;-76,5;-78,25;-75,53;-75,53;-76,3
04-03-2021 9:16;-74,94;-75,53;-77,08;-79,61;-79,42;-79,61;-76,5;-78,44;-75,72;-75,33;-76,3
04-03-2021 9:17;-74,94;-75,53;-77,08;-79,81;-79,61;-79,61;-76,5;-78,05;-75,33;-75,53;-76,3
04-03-2021 9:18;-75,14;-75,53;-77,08;-79,42;-79,81;-79,81;-76,69;-78,83;-75,72;-75,33;-76,5
04-03-2021 9:19;-75,14;-75,72;-77,08;-79,81;-79,61;-79,98;-76,69;-78,44;-75,53;-75,14;-76,11
04-03-2021 9:20;-75,14;-75,72;-77,08;-79,81;-79,81;-79,98;-76,69;-78,25;-75,72;-75,53;-75,91
04-03-2021 9:21;-75,33;-75,72;-77,08;-79,81;-79,81;-79,98;-76,89;-78,44;-75,91;-75,14;-75,72
04-03-2021 9:22;-75,33;-75,72;-77,08;-79,61;-80,17;-80,17;-76,89;-78,25;-75,33;-75,33;-75,91
04-03-2021 9:23;-75,53;-75,72;-77,08;-79,81;-79,81;-80,36;-77,08;-78,44;-75,33;-75,33;-76,3
04-03-2021 9:24;-75,33;-75,72;-77,08;-79,81;-79,81;-80,36;-76,89;-78,44;-75,53;-75,14;-75,91
