RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
294;2022-04-24 10:42:23;17;59,2
295;2022-04-24 10:47:23;17,1;59,3
296;2022-04-24 10:52:23;17,3;59,3
297;2022-04-24 10:57:23;17,4;58,8
298;2022-04-24 11:02:23;17,4;58,8
299;2022-04-24 11:07:23;17,5;58,4
300;2022-04-24 11:12:23;17,6;58,4
301;2022-04-24 11:17:23;17,6;58,4
302;2022-04-24 11:22:23;17,7;58,4
303;2022-04-24 11:27:23;17,7;57,9
304;2022-04-24 11:32:23;17,8;57,9
305;2022-04-24 11:37:23;17,8;57,9
306;2022-04-24 11:42:23;17,9;57,9
307;2022-04-24 11:47:23;18;57,5
308;2022-04-24 11:52:23;18,1;57,5
309;2022-04-24 11:57:23;18,2;57
310;2022-04-24 12:02:23;18,2;57
311;2022-04-24 12:07:23;18,3;56,6
312;2022-04-24 12:12:23;18,4;56,6
313;2022-04-24 12:17:23;18,5;56,6
314;2022-04-24 12:22:23;18,5;56,1
315;2022-04-24 12:27:23;18,5;56,1
316;2022-04-24 12:32:23;18,5;56,1
317;2022-04-24 12:37:23;18,6;56,1
318;2022-04-24 12:42:23;18,6;56,1
319;2022-04-24 12:47:23;18,6;56,1
320;2022-04-24 12:52:23;18,6;56,1
321;2022-04-24 12:57:23;18,6;56,1
322;2022-04-24 13:02:23;18,7;55,6
323;2022-04-24 13:07:23;18,7;55,6
324;2022-04-24 13:12:23;18,8;55,6
325;2022-04-24 13:17:23;18,8;55,7
326;2022-04-24 13:22:23;18,9;55,7
327;2022-04-24 13:27:23;19;55,7
328;2022-04-24 13:32:23;19;55,7
329;2022-04-24 13:37:23;19;55,7
330;2022-04-24 13:42:23;19,1;55,2
331;2022-04-24 13:47:23;19,1;55,2
332;2022-04-24 13:52:23;19,1;55,2
333;2022-04-24 13:57:23;19,1;55,2
334;2022-04-24 14:02:23;19,2;55,2
335;2022-04-24 14:07:23;19,2;55,2
336;2022-04-24 14:12:23;19,3;55,2
337;2022-04-24 14:17:23;19,3;55,2
338;2022-04-24 14:22:23;19,5;54,8
339;2022-04-24 14:27:23;19,6;54,8
340;2022-04-24 14:32:23;19,7;54,8
341;2022-04-24 14:37:23;19,8;54,8
342;2022-04-24 14:42:23;19,8;54,8
343;2022-04-24 14:47:23;19,8;54,8
344;2022-04-24 14:52:23;19,9;54,8
345;2022-04-24 14:57:23;19,9;54,8
346;2022-04-24 15:02:23;19,9;54,8
347;2022-04-24 15:07:23;20;55,3
348;2022-04-24 15:12:23;20;55,3
349;2022-04-24 15:17:23;20;55,3
350;2022-04-24 15:22:23;20;55,3
351;2022-04-24 15:27:23;20;55,3
352;2022-04-24 15:32:23;20;55,3
353;2022-04-24 15:37:23;20;55,3
354;2022-04-24 15:42:23;20;55,3
355;2022-04-24 15:47:23;20;55,3
356;2022-04-24 15:52:23;20;55,3
357;2022-04-24 15:57:23;20;55,3
358;2022-04-24 16:02:23;20;55,3
359;2022-04-24 16:07:23;20;55,3
360;2022-04-24 16:12:23;20;55,3
361;2022-04-24 16:17:23;20;55,3
362;2022-04-24 16:22:23;20;55,3
363;2022-04-24 16:27:23;19,9;55,3
364;2022-04-24 16:32:23;19,8;55,3
365;2022-04-24 16:37:23;19,8;55,8
366;2022-04-24 16:42:23;19,8;55,8
367;2022-04-24 16:47:23;19,7;55,8
368;2022-04-24 16:52:23;19,7;55,8
369;2022-04-24 16:57:23;19,7;55,8
370;2022-04-24 17:02:23;19,7;55,8
371;2022-04-24 17:07:23;19,6;55,8
372;2022-04-24 17:12:23;19,5;55,8
373;2022-04-24 17:17:23;19,5;55,8
374;2022-04-24 17:22:23;19,4;56,2
375;2022-04-24 17:27:23;19,3;56,2
376;2022-04-24 17:32:23;19,2;56,2
377;2022-04-24 17:37:23;19,2;56,7
378;2022-04-24 17:42:23;19,1;56,7
379;2022-04-24 17:47:23;19,1;56,7
380;2022-04-24 17:52:23;19;57,1
381;2022-04-24 17:57:23;18,9;57,1
382;2022-04-24 18:02:23;18,8;57,1
383;2022-04-24 18:07:23;18,7;57,6
384;2022-04-24 18:12:23;18,6;57,6
